127.0.0.1 - - [05/dic/2022:13:09:56 +0000] "GET / HTTP/1.1" 302 0
127.0.0.1 - - [05/dic/2022:13:09:57 +0000] "GET /solr/ HTTP/1.1" 200 3244
127.0.0.1 - - [05/dic/2022:13:09:57 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 92
127.0.0.1 - - [05/dic/2022:13:09:57 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1373
127.0.0.1 - - [05/dic/2022:13:09:57 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1377
127.0.0.1 - - [05/dic/2022:13:09:57 +0000] "GET /solr/img/favicon.ico?_=9.0.0 HTTP/1.1" 200 2350
127.0.0.1 - - [05/dic/2022:13:10:04 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:04 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1373
127.0.0.1 - - [05/dic/2022:13:10:04 +0000] "GET /solr/admin/info/threads?_=1670245804428&wt=json HTTP/1.1" 200 4003
127.0.0.1 - - [05/dic/2022:13:10:07 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:07 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1369
127.0.0.1 - - [05/dic/2022:13:10:07 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1372
127.0.0.1 - - [05/dic/2022:13:10:07 +0000] "GET /api/cluster/security/authorization?_=1670245807265&wt=json HTTP/1.1" 200 106
127.0.0.1 - - [05/dic/2022:13:10:08 +0000] "GET /solr/partials/cores.html HTTP/1.1" 200 1832
127.0.0.1 - - [05/dic/2022:13:10:08 +0000] "GET /solr/admin/cores?_=1670245797569&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:08 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:08 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1375
127.0.0.1 - - [05/dic/2022:13:10:08 +0000] "GET /solr/img/ico/information-white.png HTTP/1.1" 200 707
127.0.0.1 - - [05/dic/2022:13:10:11 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:11 +0000] "GET /solr/admin/info/properties?_=1670245811353&wt=json HTTP/1.1" 200 1206
127.0.0.1 - - [05/dic/2022:13:10:11 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1382
127.0.0.1 - - [05/dic/2022:13:10:12 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:12 +0000] "GET /solr/admin/info/threads?_=1670245804428&wt=json HTTP/1.1" 200 3958
127.0.0.1 - - [05/dic/2022:13:10:12 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1376
127.0.0.1 - - [05/dic/2022:13:10:14 +0000] "GET /solr/admin/cores?_=1670245797569&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [05/dic/2022:13:10:14 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1374
127.0.0.1 - - [05/dic/2022:13:10:14 +0000] "GET /solr/admin/info/system?_=1670245797569&wt=json HTTP/1.1" 200 1370
