127.0.0.1 - - [14/dic/2022:12:36:41 +0000] "GET /solr/ HTTP/1.1" 200 3244
127.0.0.1 - - [14/dic/2022:12:36:42 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 92
127.0.0.1 - - [14/dic/2022:12:36:42 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1392
127.0.0.1 - - [14/dic/2022:12:36:42 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1392
127.0.0.1 - - [14/dic/2022:12:36:48 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:36:48 +0000] "GET /solr/admin/info/logging?_=1671021408811&since=0&wt=json HTTP/1.1" 200 1121
127.0.0.1 - - [14/dic/2022:12:36:48 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1398
127.0.0.1 - - [14/dic/2022:12:36:50 +0000] "GET /solr/partials/security.html HTTP/1.1" 200 4952
127.0.0.1 - - [14/dic/2022:12:36:50 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:36:50 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1390
127.0.0.1 - - [14/dic/2022:12:36:50 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1397
127.0.0.1 - - [14/dic/2022:12:36:50 +0000] "GET /api/cluster/security/authorization?_=1671021410844&wt=json HTTP/1.1" 200 106
127.0.0.1 - - [14/dic/2022:12:36:53 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:36:53 +0000] "GET /solr/admin/cores?_=1671021402024&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:36:53 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1391
127.0.0.1 - - [14/dic/2022:12:36:59 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:36:59 +0000] "GET /solr/admin/info/properties?_=1671021419774&wt=json HTTP/1.1" 200 1222
127.0.0.1 - - [14/dic/2022:12:36:59 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1397
127.0.0.1 - - [14/dic/2022:12:37:01 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:37:01 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1393
127.0.0.1 - - [14/dic/2022:12:37:01 +0000] "GET /solr/admin/info/threads?_=1671021421205&wt=json HTTP/1.1" 200 3916
127.0.0.1 - - [14/dic/2022:12:37:03 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:37:03 +0000] "GET /solr/admin/cores?_=1671021402024&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:37:03 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1397
127.0.0.1 - - [14/dic/2022:12:37:14 +0000] "GET /solr/admin/cores?_=1671021402024&indexInfo=false&wt=json HTTP/1.1" 200 91
127.0.0.1 - - [14/dic/2022:12:37:14 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1396
127.0.0.1 - - [14/dic/2022:12:37:14 +0000] "GET /solr/admin/info/system?_=1671021402024&wt=json HTTP/1.1" 200 1395
